Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO AUTOMOTRIZ UNION PANAMERICANA ESTACION BOSA BRASIL,TEXACO,Carrera 88C No. 53A - 17 SUR,GASOLINA CORRIENTE OXIGENADA,9372,A,Carrera 88C No. 53A - 17 SUR,"Carrera 88C No. 53A - 17 SUR, Bogota  d.c., Colombia","(4.62965, -74.18332)",4.62965,-74.18332
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVCIO BRAZUELOS,TERPEL,CARRERA 14 No. 101A-44 SUR,GASOLINA CORRIENTE OXIGENADA,9325,A,CARRERA 14 No. 101A-44 SUR,"CARRERA 14 No. 101A-44 SUR, Bogota  d.c., Colombia","(4.59213, -74.08842)",4.59213,-74.08842
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVCIO BRAZUELOS,TERPEL,CARRERA 14 No. 101A-44 SUR,BIODIESEL EXTRA,9029,A,CARRERA 14 No. 101A-44 SUR,"CARRERA 14 No. 101A-44 SUR, Bogota  d.c., Colombia","(4.59213, -74.08842)",4.59213,-74.08842
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS EL TRIANGULO BOGOTA,TERPEL,CARRERA 72 No. 44B-39 SUR,BIODIESEL EXTRA,8590,A,CARRERA 72 No. 44B-39 SUR,"CARRERA 72 No. 44B-39 SUR, Bogota  d.c., Colombia","(4.60651, -74.14469)",4.60651,-74.14469
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS EL TRIANGULO BOGOTA,TERPEL,CARRERA 72 No. 44B-39 SUR,GASOLINA CORRIENTE OXIGENADA,8720,A,CARRERA 72 No. 44B-39 SUR,"CARRERA 72 No. 44B-39 SUR, Bogota  d.c., Colombia","(4.60651, -74.14469)",4.60651,-74.14469
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BIOMAX COLINA,BIOMAX,AVENIDA CARRERA 72 No. 132A- 27,GASOLINA EXTRA OXIGENADA,16890,A,AVENIDA CARRERA 72 No. 132A- 27,"AVENIDA CARRERA 72 No. 132A- 27, Bogota  d.c., Colombia","(4.68692, -74.09558)",4.68692,-74.09558
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BIOMAX COLINA,BIOMAX,AVENIDA CARRERA 72 No. 132A- 27,BIODIESEL EXTRA,9260,A,AVENIDA CARRERA 72 No. 132A- 27,"AVENIDA CARRERA 72 No. 132A- 27, Bogota  d.c., Colombia","(4.68692, -74.09558)",4.68692,-74.09558
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS BIOMAX COLINA,BIOMAX,AVENIDA CARRERA 72 No. 132A- 27,GASOLINA CORRIENTE OXIGENADA,9380,A,AVENIDA CARRERA 72 No. 132A- 27,"AVENIDA CARRERA 72 No. 132A- 27, Bogota  d.c., Colombia","(4.68692, -74.09558)",4.68692,-74.09558
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS SANTA FE,PUMA,AVENIDA CARRERA 30 No. 26-80 SUR,GASOLINA CORRIENTE OXIGENADA,8979,A,AVENIDA CARRERA 30 No. 26-80 SUR,"AVENIDA CARRERA 30 No. 26-80 SUR, Bogota  d.c., Colombia","(4.59797, -74.10034)",4.59797,-74.10034
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS SANTA FE,PUMA,AVENIDA CARRERA 30 No. 26-80 SUR,BIODIESEL EXTRA,8979,A,AVENIDA CARRERA 30 No. 26-80 SUR,"AVENIDA CARRERA 30 No. 26-80 SUR, Bogota  d.c., Colombia","(4.59797, -74.10034)",4.59797,-74.10034
