Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO EL CERRO 1,TEXACO,CALLE 6 No. 3A - 01 ESTE,BIODIESEL EXTRA,8880,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO DISTRACOM DOÑA JUANA,BIOMAX,AVENIDA CALLE 71B SUR NO. 12-85,GASOLINA CORRIENTE OXIGENADA,8950,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO DISTRACOM DOÑA JUANA,BIOMAX,AVENIDA CALLE 71B SUR NO. 12-85,GASOLINA EXTRA OXIGENADA,15390,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO DISTRACOM DOÑA JUANA,BIOMAX,AVENIDA CALLE 71B SUR NO. 12-85,BIODIESEL EXTRA,8730,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO DISTRACOM DOÑA JUANA,BIOMAX,AVENIDA CALLE 71B SUR NO. 12-85,GASOLINA EXTRA OXIGENADA,16200,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO DISTRACOM DOÑA JUANA,BIOMAX,AVENIDA CALLE 71B SUR NO. 12-85,GASOLINA CORRIENTE OXIGENADA,8760,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO DISTRACOM DOÑA JUANA,BIOMAX,AVENIDA CALLE 71B SUR NO. 12-85,BIODIESEL EXTRA,8550,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,E-S GY-234,TEXACO,AVENIDA CALLE 234 AEROPUERTO GUAYMARAL-ESCUELA ANDES E-S TEXACO,GASOLINA EXTRA OXIGENADA,16895,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,E-S GY-234,TEXACO,AVENIDA CALLE 234 AEROPUERTO GUAYMARAL-ESCUELA ANDES E-S TEXACO,GASOLINA CORRIENTE OXIGENADA,9685,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,E-S GY-234,TEXACO,AVENIDA CALLE 234 AEROPUERTO GUAYMARAL-ESCUELA ANDES E-S TEXACO,BIODIESEL EXTRA,9462,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO MAKRO VILLA DEL RIO,BIOMAX,CR 63 NO. 57 G - 74 Sur,BIODIESEL EXTRA,8699,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO MAKRO VILLA DEL RIO,BIOMAX,CR 63 NO. 57 G - 74 Sur,GASOLINA CORRIENTE OXIGENADA,8699,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PRADERA AV 68,TERPEL,CARRERA 68 No. 11-46,GASOLINA EXTRA OXIGENADA,16900,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PRADERA AV 68,TERPEL,CARRERA 68 No. 11-46,BIODIESEL EXTRA,9100,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,EDS PRADERA AV 68,TERPEL,CARRERA 68 No. 11-46,GASOLINA CORRIENTE OXIGENADA,9260,A
2022,2,11,BOGOTA D.C.,11001,BOGOTA  D.C.,ESTACION DE SERVICIO QUIBA S.A.S,OCTANO,BUENA VISTA - CIUDAD BOLIVAR,GASOLINA CORRIENTE OXIGENADA,9372,A
